 epoch | dice_score
     1 | 0.04163159326065418
     2 | 0.03456918721975282
     3 | 0.17984663331231407
     4 | 0.18211157238760659
     5 | 0.22898856013320212
     6 | 0.2427084681599639
     7 | 0.2114477878393129
     8 | 0.2677079633224842
     9 | 0.17731069825416387
    10 | 0.239287675813187
    11 | 0.23285783861958703
    12 | 0.21041813423467237
    13 | 0.26077147694521174
    14 | 0.30180435402448785
    15 | 0.2683144821677097
    16 | 0.17178445499996806
    17 | 0.2990744709968567
    18 | 0.2580173597779385
    19 | 0.263010558693908
    20 | 0.2297199423923049
    21 | 0.23993593870207322
    22 | 0.2501235756763192
    23 | 0.3026031865630039
    24 | 0.25405398634977117
    25 | 0.2782861923062524
    26 | 0.18023041791694108
    27 | 0.2427243895308916
    28 | 0.14636589482773182
    29 | 0.25479669210522676
    30 | 0.22852931188982586
    31 | 0.20513683696125828
    32 | 0.2155134456102238
    33 | 0.11357990946880607
    34 | 0.24622800322466118
    35 | 0.23432509289231412
    36 | 0.22803255846334058
    37 | 0.2635982299959937
    38 | 0.2500792714052422
    39 | 0.2640074935070304
    40 | 0.25419730779736543
    41 | 0.29580051261325213
    42 | 0.2428702434828115
    43 | 0.21473394438277843
    44 | 0.30038151352904563
    45 | 0.2614455264668132
    46 | 0.29771885206533033
    47 | 0.24321185017741004
    48 | 0.21064839945283048
    49 | 0.2963471773058869
    50 | 0.15092729136001232
    51 | 0.32397922111112015
    52 | 0.23705004259597423
    53 | 0.20530168677485267
    54 | 0.29780565306197765
    55 | 0.24556247993957164
    56 | 0.1757030168245005
    57 | 0.16924168619998667
    58 | 0.20692101190256518
    59 | 0.15539097231487894
    60 | 0.29044015740239343
    61 | 0.23646608202956443
    62 | 0.2273652248604353
    63 | 0.22880958679110505
    64 | 0.21010929207469142
    65 | 0.2503549068473106
    66 | 0.23329177706740623
    67 | 0.27172574192978616
    68 | 0.28968205147011333
    69 | 0.2786815180334934
    70 | 0.2883918423985326
    71 | 0.24460176118584567
    72 | 0.18440389771794163
    73 | 0.29758677233097164
    74 | 0.30947823025459464
    75 | 0.3144453070884527
    76 | 0.3231707686601683
    77 | 0.20366806207701219
    78 | 0.25855255958645845
    79 | 0.30129739018373713
    80 | 0.2807975605476734
    81 | 0.3141062190366346
    82 | 0.3242625732754552
    83 | 0.2708756715752358
    84 | 0.25873662843260653
    85 | 0.32663147255431774
    86 | 0.19872855447059454
    87 | 0.3031463567600694
    88 | 0.13214330201925234
    89 | 0.13641915626304094
    90 | 0.252620983955472
    91 | 0.2789952671805093
    92 | 0.2662279009819031
    93 | 0.3047644884087319
    94 | 0.27375975597736446
    95 | 0.16304834637531015
    96 | 0.24734240354493606
    97 | 0.221197527508403
    98 | 0.18203514121299566
    99 | 0.1786724093348481
   100 | 0.31353730101918065
 latest | 0.22199628380841988
